KOD,TYPE,FİYAT
4031018,PROVOCATIVE INTERLUDE,50.525
4041043,RED DOOR,66.64999999999999
4056439,MISS PUCCI,68.8
4056435,ABSOLUTELY ME,66.64999999999999
4115404,BORN IN PARADISE,70.95
4095301,CHERRY IN THE AIR,73.1
4047709,DESIRE ME,69.875
4037581,ESCADA COLLECTION,60.2
4039533,ESCADA INCREDIBLE ME,68.8
4023124,ESCADA MARGARETHA LEY,59.125
4043978,ESCADA OCEAN LOUNGE,61.275
4033945,ESCADAS,52.675
4024196,ESCADASIGNATURE,55.9
4067068,ESPECIALLY,67.725
4079807,ESPECIALLY DELICATE NOTES,74.175
4335605,FIESTA CARIOCA,66.64999999999999
4015587,IBIZA HIPPIE,52.675
4027589,IN TO THE BLUE,48.375
4463851,JOYFUL,70.95
4020139,MAGNETIC BEAT,50.525
4342541,MAGNETISM,62.34999999999999
4052761,MARINA DE BOURBON GROOVE,66.64999999999999
4389677,MIAMI BLOSSOM,66.64999999999999
4024922,PASIFIC PARADISE,53.75
4020115,ROCKIN RIO,51.59999999999999
4900768,SENTIMENT,46.225
4031090,SUNSET HEAT,51.59999999999999
4060726,TAJ SUNSET,62.34999999999999
4027198,TROPICAL PUNCH,50.525
4199927,TURQUOISE SUMMER,59.125
4026455,1 LE BATELEUR,62.34999999999999
4031363,ALLIAGE,68.8
4298919,BEAUTIFUL,77.39999999999999
4017356,BEYOND PARADISE,52.675
4374454,BRONZE GODDES EAU FRAICHE 2019,68.8
4328134,BRONZE GODDESS,69.875
4025275,INTUITION,55.9
4272178,MODERN MUSE LE ROUGE,68.8
4324858,MODERN MUSE NUIT,73.1
4033034,PLEASURES EXOTIC,52.675
4011202,PLEASURES INTENSE,44.075
4405787,PRIVATE COLLECTION TUBEROSE GARDENIA,74.175
4621740,WHITE LINEN,75.25
4080702,SENSUOUS NOIR,73.1
4124060,SENSUOUS NUDE,70.95
4685620,YOUTH-DEW,86
4067814,C'EST MOI ,68.8
4068083,ETIENNE AIGNER,72.02499999999999
4031942,IN LEATHER WOMAN,50.525
4187632,STARLIGHT,69.875
4450962,DEVIL TENDER,66.64999999999999
4450928,LUST IN PARADISE,66.64999999999999
4679000,SWEET MORPHINE,74.18
4082179,FAN DI FANCFUL,64.5
4094148,FAN DI FENDI EAU FRAICHE,63.425
4083509,FAN DI FENDI EXTREME,72.02499999999999
4017381,FENDI,59.125
4039775,FENDI PALAZZO,75.25
4068084,NATURE FOR WOMEN,68.8
4096673,PASSION FOR WOMEN,69.875
4684771,IRIS POUDRE,70.95
4355373,UNE FLEUR DE CASSIE,70.95
4355374,UNE ROSE,70.95
4012909,GIORGIO,49.45
4023095,WINGS FOR WOMAN,51.59999999999999
4362129,ACQUA DI GIOIA,70.95
4089484,ACQUA DI GIOIA ESSENZA,73.1
4293312,AIR DI GIOIA,74.175
4060335,AMBRE ORIFLAMEENTAL,86
4304617,BECAUSE IT'S YOU,66.64999999999999
4033532,EMPORIFLAMEO GIORGIO ARMANI DIAMONDS,54.825
4122786,EMPORIFLAMEO GIORGIO ARMANI DIAMONDS BLACK CARAT FOR HER,73.1
4040392,EMPORIFLAMEO GIORGIO ARMANI DIAMONDS INTENSE,73.1
4014496,EMPORIFLAMEO GIORGIO ARMANI NIGHT FOR HER,46.225
4407254,EMPORIFLAMEO GIORGIO ARMANI SHE,75.25
4010054,EMPORIFLAMEO GIORGIO ARMANI WHITE,32.25
4031543,GIO,56.97499999999999
